Id,Label,tipo,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,nodecolor-multimode,X,Y,Size,Color
bbfe841dcdedd1c49c02a987f206e039,,User,47,22,69,7,0.267615,0.301379,0,1,2346,red,-153.03653,-254.569473,10,"#000000"
c3c2dc43d11f6a5bdc65c2695d4d15eb,,User,48,21,69,7,0.267615,0.301379,0,1,2346,red,97.527321,423.602051,10,"#000000"
cae183c5cc7818cfa2e42e9bb75f8d2e,,User,49,20,69,7,0.267615,0.301379,0,1,2346,red,457.389557,-276.148224,10,"#000000"
cecb754b22fd16678984a14ea8805b16,,User,50,19,69,7,0.267615,0.301379,0,1,2346,red,56.405735,481.8573,10,"#000000"
d95077f1cac453a937982d6a7dae9fc4,,User,51,18,69,7,0.267615,0.301379,0,1,2346,red,-210.892365,88.422958,10,"#000000"
da2ce85df3203570684828091e0239e6,,User,52,17,69,7,0.267615,0.301379,0,1,2346,red,-258.556335,259.879089,10,"#000000"
dcff9d583e3194cbd8939f1c0a034b8e,,User,53,16,69,7,0.267615,0.301379,0,1,2346,red,419.938141,-153.776413,10,"#000000"
e033b28e8e293ed51a98706bc56cb81b,,User,54,15,69,7,0.267615,0.301379,0,1,2346,red,-91.609673,-372.040802,10,"#000000"
e16fc460d240d3533d56cace2e0244ca,,User,55,14,69,7,0.267615,0.301379,0,1,2346,red,-258.75827,-373.351715,10,"#000000"
e2e0952be6dbc848b4a96452245cab97,,User,56,30,86,7,0.268252,0.305811,32317,0.67907,2482,red,179.226837,-404.765686,10,"#000000"
e366ddbdd3b30f10a46f7034a2240ab0,,User,57,12,69,7,0.267615,0.301379,0,1,2346,red,405.996124,492.822937,10,"#000000"
e4cd9b46e837a4eade0a28a5641096e6,,User,58,11,69,7,0.267615,0.301379,0,1,2346,red,-346.216827,-43.829819,10,"#000000"
edb64dc128b6e2d8771b67065ca827ae,,User,59,10,69,7,0.267615,0.301379,0,1,2346,red,397.234711,18.501818,10,"#000000"
ef57712b38ed7312fbaf3281a117ca53,,User,60,9,69,7,0.267615,0.301379,0,1,2346,red,28.207067,-301.97406,10,"#000000"
efadf76d82d07057414fb3f3555e5d90,,User,61,8,69,7,0.267615,0.301379,0,1,2346,red,107.259132,76.76561,10,"#000000"
f02572f00951f78b6a2cee21674b6f96,,User,62,7,69,7,0.267615,0.301379,0,1,2346,red,-338.033966,248.917953,10,"#000000"
f185eebafc12fd7746cf1776268a061b,,User,63,6,69,7,0.267615,0.301379,0,1,2346,red,-384.111847,61.252975,10,"#000000"
f959eca11f8fcfc6bcb79ef185910f4a,,User,64,5,69,7,0.267615,0.301379,0,1,2346,red,348.540253,61.143478,10,"#000000"
faefb9f5867368656fecca785959f5f9,,User,65,4,69,7,0.267615,0.301379,0,1,2346,red,435.108063,66.324692,10,"#000000"
fc82619c3dffd396b80f168eb21ae1cb,,User,66,3,69,7,0.267615,0.301379,0,1,2346,red,-360.310577,470.712097,10,"#000000"
fce47ba170678aa7f694416dcc4ae30b,,User,67,2,69,7,0.267615,0.301379,0,1,2346,red,347.839691,-110.528763,10,"#000000"
fdeb4f608dce9caa9cefe3dc42c13d23,,User,68,1,69,7,0.267615,0.301379,0,1,2346,red,449.155487,251.572372,10,"#000000"
fed823b5889033b63aaed6b300508412,,User,69,0,69,7,0.267615,0.301379,0,1,2346,red,-389.859039,-412.560272,10,"#000000"
04cf07b93f46b99a7193107391f3e5f7,,User,1,16,17,8,0.21191,0.230139,0,1,136,blue,318.88681,-208.188766,10,"#000000"
0b8a4dc5b6f045d462a48691d3c7a19d,,User,2,15,17,8,0.21191,0.230139,0,1,136,blue,-290.987549,-283.029388,10,"#000000"
1b8748bfbacb6168b203e5054e0518b6,,User,3,14,17,8,0.21191,0.230139,0,1,136,blue,169.349213,359.140442,10,"#000000"
1c4cbc67182d270986c4cdc187087ed5,,User,4,13,17,8,0.21191,0.230139,0,1,136,blue,72.078651,321.69751,10,"#000000"
328e94178454d406afb8438baf79d3cb,,User,5,12,17,8,0.21191,0.230139,0,1,136,blue,-424.786987,494.27594,10,"#000000"
3856ef3583f06732030adadad8349fc8,,User,6,11,17,8,0.21191,0.230139,0,1,136,blue,-389.234344,188.678268,10,"#000000"
