Id,Label,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,stat_inf_class,componentnumber,X,Y,Size,Color
6f0f40d49ba52311e5371b8e97fe6ecd,,85,119,204,6,0.419473,0.505049,0,1,20706,72,1,-34.809731,-422.191864,10,"#000000"
6f1377b8aef9397f4af23234c93090f9,,86,118,204,6,0.419473,0.505049,0,1,20706,56,1,-296.95813,95.979073,10,"#000000"
719dac5ac46fcf2df0aebac8b21a421f,,87,117,204,6,0.419473,0.505049,0,1,20706,105,1,64.446953,-70.198387,10,"#000000"
745aa3c41e0d17ebaf384b53a91f4f49,,88,116,204,6,0.419473,0.505049,0,1,20706,111,1,342.276123,-488.53421,10,"#000000"
7504287183444470e99dcc2c250cfeec,,90,218,308,6,0.436445,0.545499,16287.018258,0.558188,26390,274,1,158.172104,239.119568,10,"#000000"
7826d29ffe895c2b4d5f8106f62bfe5e,,90,114,204,6,0.419473,0.505049,0,1,20706,87,1,33.849419,-5.152398,10,"#000000"
7b3fa2f2d8e4710df0facbc59e23c1e0,,91,113,204,6,0.419473,0.505049,0,1,20706,298,1,420.454529,-9.777612,10,"#000000"
7ee9c7d26984d02d9700788f0789721a,,92,112,204,6,0.419473,0.505049,0,1,20706,100,1,50.429192,175.108337,10,"#000000"
8276cd4e33012360c801f40a1b3f9125,,93,111,204,6,0.419473,0.505049,0,1,20706,74,1,203.799362,184.510559,10,"#000000"
837032f413019ab01a114dabb8ec4ffd,,94,110,204,6,0.419473,0.505049,0,1,20706,73,1,206.40239,-505.051727,10,"#000000"
8381d517e798be386cc69c966a2cc58b,,95,203,298,6,0.433407,0.540693,8813.244199,0.585926,25929,156,1,155.364426,-203.232178,10,"#000000"
8446157545e255375e0d6f5a3e33e1aa,,96,108,204,6,0.419473,0.505049,0,1,20706,79,1,466.875793,-116.722679,10,"#000000"
8492b2650cebb90fdb8d4f0b34a2fd12,,97,107,204,6,0.419473,0.505049,0,1,20706,54,1,-401.666443,-176.498169,10,"#000000"
85bac82b8c858b34b56320564d0a8efb,,98,106,204,6,0.419473,0.505049,0,1,20706,75,1,-37.790596,175.259644,10,"#000000"
86325490d991d6bdc0a9e93534fdb536,,99,105,204,6,0.419473,0.505049,0,1,20706,83,1,139.15184,252.313293,10,"#000000"
869b7291870db19e1ffc258e7f6bcce1,,100,104,204,6,0.419473,0.505049,0,1,20706,77,1,-454.92218,367.343689,10,"#000000"
874118fcbcb14728f81f3aaf51eef8e2,,101,103,204,6,0.419473,0.505049,0,1,20706,76,1,-490.801971,-194.159119,10,"#000000"
8925fd45db8d96bd6ca24ce882da6d9c,,102,102,204,6,0.419473,0.505049,0,1,20706,97,1,-409.471893,459.748291,10,"#000000"
8a6a2f1791314cff39b7da988cb62069,,103,101,204,6,0.419473,0.505049,0,1,20706,60,1,-21.429359,369.491089,10,"#000000"
8c03320a78b0a8b8617bb19f598e4023,,104,100,204,6,0.419473,0.505049,0,1,20706,82,1,84.231804,335.166992,10,"#000000"
8ce706ec6122db2b6e5e90e04add7a37,,105,123,228,6,0.422579,0.513808,32304,0.810805,20982,305,1,290.016663,-400.921631,10,"#000000"
8cea97f2da039c9d4f061cd2bd08ba42,,106,98,204,6,0.419473,0.505049,0,1,20706,64,1,170.103561,-150.010071,10,"#000000"
8df18722b28514d465d134a51692e054,,109,212,321,6,0.451103,0.55983,46454.525877,0.514934,26447,307,1,-47.366951,322.662659,10,"#000000"
92e47c31a508880ebf1bd02a3ba3fb8e,,108,96,204,6,0.419473,0.505049,0,1,20706,71,1,235.686142,73.13221,10,"#000000"
94fc55618ab28fab3b46a79c795bf705,,109,95,204,6,0.419473,0.505049,0,1,20706,78,1,-92.177437,0.28791,10,"#000000"
95e312a6d241649d0e66a6033af0fed1,,110,94,204,6,0.419473,0.505049,0,1,20706,81,1,302.178467,397.5979,10,"#000000"
98d631557668395960b2f46ee6bee5a9,,111,93,204,6,0.419473,0.505049,0,1,20706,95,1,34.08709,-314.012756,10,"#000000"
98eb87440d9d1c23a2b2d21c42932740,,112,92,204,6,0.419473,0.505049,0,1,20706,88,1,-44.29142,71.19593,10,"#000000"
99df7b4941ece23250abc954d53e278b,,113,91,204,6,0.419473,0.505049,0,1,20706,90,1,-307.40625,-351.664734,10,"#000000"
9a763801a5f76fd90c88ac4932341d85,,114,90,204,6,0.419473,0.505049,0,1,20706,303,1,307.431824,-454.635315,10,"#000000"
9b39a7b3e939ed8c35b566b4141b8bde,,115,183,298,6,0.433407,0.540693,8813.244199,0.585926,25929,141,1,-467.950806,48.992989,10,"#000000"
9c8bc92381c7269dd4d311609fcd96d2,,116,88,204,6,0.419473,0.505049,0,1,20706,113,1,-497.740326,-75.149742,10,"#000000"
9d93fa48715fa2c44d31490aed583090,,117,87,204,6,0.419473,0.505049,0,1,20706,84,1,69.271416,-146.897339,10,"#000000"
9f325bc3401b2fbf72b8b91a4f71d428,,118,86,204,6,0.419473,0.505049,0,1,20706,80,1,109.50164,-283.976624,10,"#000000"
9f5d3602577f7c119af959085ad09538,,119,85,204,6,0.419473,0.505049,0,1,20706,79,1,140.947433,451.05658,10,"#000000"
a097eff4289253e672abfffe8ac488d5,,123,153,276,5,0.460195,0.549075,72882.360475,0.61552,23359,229,1,323.429382,17.908089,10,"#000000"
a12f501c8c6ae5ad0abd874b1fd0141b,,121,83,204,6,0.419473,0.505049,0,1,20706,110,1,182.417953,308.075378,10,"#000000"
a2afdb861e17efcd149427afeb4403dd,,122,82,204,6,0.419473,0.505049,0,1,20706,78,1,277.748901,277.534729,10,"#000000"
a4efdce3b572cd8e32ad6be442b2f7e2,,123,81,204,6,0.419473,0.505049,0,1,20706,81,1,430.932739,326.197815,10,"#000000"
a6d37bf16239f30c9039c75975c0a604,,124,80,204,6,0.419473,0.505049,0,1,20706,85,1,-64.807838,-259.981232,10,"#000000"
a7a29f2ca268e6bd1fc9714bc18ade88,,125,79,204,6,0.419473,0.505049,0,1,20706,299,1,-426.330444,-497.303925,10,"#000000"
a7cd207cf04eca0e47a157071df25118,,126,78,204,6,0.419473,0.505049,0,1,20706,83,1,-48.081886,-236.193329,10,"#000000"
a8d8273cd6c38a9b0db014964c69f567,,128,130,258,6,0.431496,0.528893,17782.909116,0.663831,22008,309,1,64.913078,-100.404289,10,"#000000"
a9525c773f2b462976dc2513a87050b2,,128,76,204,6,0.419473,0.505049,0,1,20706,82,1,-363.862946,242.817871,10,"#000000"
a953654d3cc91cf73569134d93ddff4a,,129,140,269,6,0.43327,0.532336,20716.394431,0.636326,22937,194,1,322.141235,-99.106224,10,"#000000"
aa50b180365d304aceb756ec24f2f8f7,,130,74,204,6,0.419473,0.505049,0,1,20706,77,1,-378.648743,479.751953,10,"#000000"
aa820e23a5df0dca8ace47dfed4cdbd2,,131,73,204,6,0.419473,0.505049,0,1,20706,308,1,277.36731,227.231445,10,"#000000"
aac142216226e1e647fe2cdd0b8d1bb5,,132,72,204,6,0.419473,0.505049,0,1,20706,55,1,156.829575,-11.380914,10,"#000000"
add9bcc9e515f7af3ba730b74d28840d,,133,71,204,6,0.419473,0.505049,0,1,20706,86,1,307.939148,202.192993,10,"#000000"
ae5a1e4fa446b1e6cf802b58cc7e6df1,,134,70,204,6,0.419473,0.505049,0,1,20706,87,1,-18.588753,-130.409637,10,"#000000"
b09748903bebf53177e32959213847ba,,135,69,204,6,0.419473,0.505049,0,1,20706,108,1,400.095886,320.065613,10,"#000000"
b09ac3cf797179b99b83b39967489e0c,,136,68,204,6,0.419473,0.505049,0,1,20706,89,1,-408.539307,-404.446106,10,"#000000"
b0b2891711b5834ddc95605f78c68dd9,,137,67,204,6,0.419473,0.505049,0,1,20706,296,1,-491.062225,251.81012,10,"#000000"
b0ea9f6532f0ca0f6d78d77f00c439a4,,138,66,204,6,0.419473,0.505049,0,1,20706,96,1,339.770813,277.302246,10,"#000000"
b13ba7baf192d8906a32ac2359327668,,139,65,204,6,0.419473,0.505049,0,1,20706,88,1,470.062683,44.155037,10,"#000000"
b19ceb06015813ed7f99da8aa7847c2c,,140,64,204,6,0.419473,0.505049,0,1,20706,89,1,209.439987,-266.935211,10,"#000000"
b1ead241d5762a4af2866fbac85bbb0d,,141,63,204,6,0.419473,0.505049,0,1,20706,62,1,490.976685,416.142456,10,"#000000"
b3ddbe93fdfda77d9b8e2ab36f2a3a9b,,142,62,204,6,0.419473,0.505049,0,1,20706,63,1,295.223816,-21.861473,10,"#000000"
b5a5fa7b887a3c68c6646585ab9f7a5f,,143,61,204,6,0.419473,0.505049,0,1,20706,51,1,204.486496,-261.884125,10,"#000000"
b632aa10c44879310730bbfced256e20,,144,60,204,6,0.419473,0.505049,0,1,20706,84,1,-5.41111,71.659248,10,"#000000"
b6ba54de1269e30aae1945021cf008bb,,145,59,204,6,0.419473,0.505049,0,1,20706,117,1,-498.365417,490.056885,10,"#000000"
b6bf3e013949f49c3b7696793d855a68,,146,58,204,6,0.419473,0.505049,0,1,20706,53,1,-338.325714,-389.905334,10,"#000000"
ba8bedf2269ae4525908dcfe5ef651dc,,147,57,204,6,0.419473,0.505049,0,1,20706,106,1,-121.663429,-260.660919,10,"#000000"
bbd25c015bbeadf0023d6da49d3de670,,148,56,204,6,0.419473,0.505049,0,1,20706,91,1,9.589896,-459.170105,10,"#000000"
c2c519b5295126df0cc336361d2f2be3,,149,55,204,6,0.419473,0.505049,0,1,20706,166,1,-172.263962,452.383911,10,"#000000"
c4a7e21e528234b0c64502543d3ba142,,150,54,204,6,0.419473,0.505049,0,1,20706,92,1,-140.039474,384.254028,10,"#000000"
c5181d4fbfb2f2e704e446a91728538d,,151,53,204,6,0.419473,0.505049,0,1,20706,299,1,-110.610634,260.36499,10,"#000000"
c5fff63b6151f93e1ce86d12f8acbee1,,152,55,207,6,0.420117,0.506387,4791.481512,0.971296,20709,315,1,-66.650978,399.047485,10,"#000000"
c6ab13dfb9fb3e6ff95e2258f2c480c7,,153,51,204,6,0.419473,0.505049,0,1,20706,93,1,326.747559,-363.976196,10,"#000000"
c7f630992be26d508383fcecd27c3efc,,154,50,204,6,0.419473,0.505049,0,1,20706,90,1,250.169296,-297.093201,10,"#000000"
ca2350c278997c3a94cabff80518b1d6,,155,49,204,6,0.419473,0.505049,0,1,20706,103,1,46.002739,306.822021,10,"#000000"
cbbc5bbe52a1f1c1ae19e97598387114,,156,48,204,6,0.419473,0.505049,0,1,20706,94,1,368.926453,-130.266785,10,"#000000"
cbfcf18bb923f95f6836722495eafee2,,157,47,204,6,0.419473,0.505049,0,1,20706,310,1,292.218384,129.070251,10,"#000000"
ccc5224097d82e99b425c72b1d70dd3d,,158,46,204,6,0.419473,0.505049,0,1,20706,95,1,127.097466,64.351936,10,"#000000"
ccf3c9fc5ee340e18d1d4fcff1ab413f,,159,139,298,6,0.433407,0.540693,8813.244199,0.585926,25929,130,1,-137.236465,-421.662537,10,"#000000"
ce3ab18617bdc97052bbe3d38a227b19,,160,44,204,6,0.419473,0.505049,0,1,20706,96,1,-230.307175,347.11554,10,"#000000"
cf79f018bbfde67b6846914db3886783,,161,43,204,6,0.419473,0.505049,0,1,20706,184,1,63.424187,473.359009,10,"#000000"
d0e772ee170c46dcbd1199094078d407,,162,42,204,6,0.419473,0.505049,0,1,20706,112,1,351.516479,383.286194,10,"#000000"
d151e1b32686dee72655aa781905756b,,163,41,204,6,0.419473,0.505049,0,1,20706,98,1,399.165039,-456.174866,10,"#000000"
d215ebf63f9c5b9dc0bb3922cce20ac8,,164,40,204,6,0.419473,0.505049,0,1,20706,97,1,81.366447,425.879211,10,"#000000"
d280944b847c53ae7bff57e2f7f8ff73,,165,39,204,6,0.419473,0.505049,0,1,20706,42,1,39.367424,-23.153465,10,"#000000"
d329300e89a509eda7907250933224d7,,167,53,220,6,0.421928,0.511253,14772.457407,0.864674,20830,232,1,-160.103104,105.689339,10,"#000000"
d3791ca05e956bc5863957b893a5c48a,,167,37,204,6,0.419473,0.505049,0,1,20706,231,1,426.470215,132.556702,10,"#000000"
d454284e25f352edad04305031c50590,,168,36,204,6,0.419473,0.505049,0,1,20706,99,1,447.588318,258.511963,10,"#000000"
d5ccb0a6f4aa1e9ee17c04b316a97cb2,,169,35,204,6,0.419473,0.505049,0,1,20706,306,1,7.292594,206.22583,10,"#000000"
